#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH1B	GNAI1	9606.ENSP00000306606	9606.ENSP00000343027	0	0	0	0	0	0.158	0	0	0.157
ADH1B	IFI30	9606.ENSP00000306606	9606.ENSP00000384886	0	0	0	0	0	0.406	0	0	0.406
AHNAK	KIF20A	9606.ENSP00000367263	9606.ENSP00000378356	0	0	0	0	0	0.270	0	0	0.270
ANKLE2	VRK2	9606.ENSP00000350686	9606.ENSP00000408002	0	0	0	0	0	0.152	0	0	0.151
AP1B1	RAC2	9606.ENSP00000350199	9606.ENSP00000249071	0	0	0	0	0	0.175	0	0	0.175
AP1B1	ARL14	9606.ENSP00000350199	9606.ENSP00000323847	0	0	0	0	0	0.175	0	0	0.175
AP1B1	ASAP3	9606.ENSP00000350199	9606.ENSP00000338769	0	0	0	0	0	0.167	0	0	0.167
AP1B1	KIF20A	9606.ENSP00000350199	9606.ENSP00000378356	0	0	0	0	0	0.281	0	0	0.281
AP2B1	RAC2	9606.ENSP00000482835	9606.ENSP00000249071	0	0	0	0	0	0.175	0	0	0.175
AP2B1	ARL14	9606.ENSP00000482835	9606.ENSP00000323847	0	0	0	0	0	0.175	0	0	0.175
AP2B1	ASAP3	9606.ENSP00000482835	9606.ENSP00000338769	0	0	0	0	0	0.167	0	0	0.167
AP2B1	KIF20A	9606.ENSP00000482835	9606.ENSP00000378356	0	0	0	0	0	0.281	0	0	0.281
ARL14	MAPK14	9606.ENSP00000323847	9606.ENSP00000229795	0	0	0	0	0	0.163	0	0	0.163
ARL14	PDE6D	9606.ENSP00000323847	9606.ENSP00000287600	0	0	0	0	0	0.217	0	0	0.217
ARL14	DNMBP	9606.ENSP00000323847	9606.ENSP00000315659	0	0	0	0	0	0.167	0	0	0.167
ARL14	GNAI1	9606.ENSP00000323847	9606.ENSP00000343027	0	0	0	0	0	0.167	0	0	0.167
AURKC	CBX5	9606.ENSP00000302898	9606.ENSP00000209875	0	0	0	0	0	0.213	0	0	0.213
AURKC	NSFL1C	9606.ENSP00000302898	9606.ENSP00000418529	0	0	0	0	0	0.248	0	0	0.247
AURKC	TACC3	9606.ENSP00000302898	9606.ENSP00000326550	0	0	0	0	0	0.244	0	0	0.243
BAZ1B	E2F3	9606.ENSP00000342434	9606.ENSP00000262904	0	0	0	0	0	0.168	0	0	0.167
BAZ1B	SRBD1	9606.ENSP00000342434	9606.ENSP00000263736	0	0	0	0	0	0.233	0	0	0.232
BAZ1B	CUL3	9606.ENSP00000342434	9606.ENSP00000264414	0	0	0	0	0	0.182	0	0	0.181
BAZ1B	VRK2	9606.ENSP00000342434	9606.ENSP00000408002	0	0	0	0	0	0.166	0	0	0.165
BAZ1B	SMC1B	9606.ENSP00000342434	9606.ENSP00000350036	0	0	0	0	0	0.253	0	0	0.252
BAZ1B	KIF20A	9606.ENSP00000342434	9606.ENSP00000378356	0	0	0	0	0	0.292	0	0	0.292
BMS1	WDR75	9606.ENSP00000363642	9606.ENSP00000314193	0	0	0	0	0	0.914	0	0	0.914
BOP1	CEBPZ	9606.ENSP00000455106	9606.ENSP00000234170	0	0	0	0	0	0.368	0	0	0.368
BOP1	DDX55	9606.ENSP00000455106	9606.ENSP00000238146	0	0	0	0	0	0.523	0	0	0.523
BOP1	HIP1R	9606.ENSP00000455106	9606.ENSP00000253083	0	0	0	0	0	0.270	0	0	0.270
BOP1	KIF20A	9606.ENSP00000455106	9606.ENSP00000378356	0	0	0	0	0	0.270	0	0	0.270
C1QC	MIB1	9606.ENSP00000363770	9606.ENSP00000261537	0	0	0	0	0	0.176	0	0	0.175
CBX5	SMC1B	9606.ENSP00000209875	9606.ENSP00000350036	0	0	0	0	0	0.171	0	0	0.171
CBX5	KIF20A	9606.ENSP00000209875	9606.ENSP00000378356	0	0	0	0	0	0.298	0	0	0.298
CBX5	DICER1	9606.ENSP00000209875	9606.ENSP00000437256	0	0	0	0	0	0.260	0	0	0.260
CEBPZ	DNAJB12	9606.ENSP00000234170	9606.ENSP00000345575	0	0	0	0	0	0.165	0	0	0.165
CEBPZ	DDX55	9606.ENSP00000234170	9606.ENSP00000238146	0	0	0	0	0	0.368	0	0	0.368
CENPK	SMC1B	9606.ENSP00000379911	9606.ENSP00000350036	0	0	0	0	0	0.166	0	0	0.165
CENPK	KIF20A	9606.ENSP00000379911	9606.ENSP00000378356	0	0	0	0	0	0.245	0	0	0.244
CLIC2	YES1	9606.ENSP00000358460	9606.ENSP00000462468	0	0	0	0	0	0.524	0	0	0.524
COL1A1	MIB1	9606.ENSP00000225964	9606.ENSP00000261537	0	0	0	0	0	0.176	0	0	0.175
CUL3	MIB1	9606.ENSP00000264414	9606.ENSP00000261537	0	0	0	0	0	0.167	0	0	0.167
CUL3	RAD52	9606.ENSP00000264414	9606.ENSP00000351284	0	0	0	0	0	0.153	0	0	0.152
CUL3	NSFL1C	9606.ENSP00000264414	9606.ENSP00000418529	0	0	0	0	0	0.289	0	0	0.289
CUL3	KLHL6	9606.ENSP00000264414	9606.ENSP00000341342	0	0	0	0	0	0.542	0	0	0.542
DDX55	MIB1	9606.ENSP00000238146	9606.ENSP00000261537	0	0	0	0	0	0.169	0	0	0.169
DDX55	PABPC1L	9606.ENSP00000238146	9606.ENSP00000255136	0	0	0	0	0	0.179	0	0	0.179
DDX55	DICER1	9606.ENSP00000238146	9606.ENSP00000437256	0	0	0	0	0	0.170	0	0	0.169
DDX55	METTL7A	9606.ENSP00000238146	9606.ENSP00000448785	0	0	0	0	0	0.154	0	0	0.153
DICER1	TRIM13	9606.ENSP00000437256	9606.ENSP00000348299	0	0	0	0	0	0.171	0	0	0.171
DICER1	ERI1	9606.ENSP00000437256	9606.ENSP00000429615	0	0	0	0	0	0.746	0	0	0.746
DICER1	TLR5	9606.ENSP00000437256	9606.ENSP00000440643	0	0	0	0	0	0.164	0	0	0.163
DNMBP	RAC2	9606.ENSP00000315659	9606.ENSP00000249071	0	0	0	0	0	0.714	0	0	0.714
DNMBP	MIB1	9606.ENSP00000315659	9606.ENSP00000261537	0	0	0	0	0	0.172	0	0	0.171
DNPEP	MIB1	9606.ENSP00000273075	9606.ENSP00000261537	0	0	0	0	0	0.176	0	0	0.175
DUSP1	MAPK14	9606.ENSP00000239223	9606.ENSP00000229795	0	0	0	0	0	0.900	0	0	0.900
